country,test_group,watch_time,pause_count,avg_watch_time_per_video,Webpage_clicks_per_session,Videos_completed_per_session,userid,ds,sessionid
Country5,test,2752,49,1953,0,53,2681769226,05-15-2023,1089e0ebaa
Country7,test,1868,50,1686,1,57,6008026172,05-16-2023,a3185acab0
Country5,test,3173,54,1452,1,88,4211867293,05-17-2023,d1054becef
Country2,test,3000,53,1684,1,24,7526173620,05-18-2023,2787ab580f
Country2,test,3639,46,1927,1,50,8666622417,05-19-2023,55ec533888
Country2,control,3523,40,698,11,21,1810666167,05-20-2023,b35214827b
Country6,control,3408,35,646,10,37,4112049033,05-21-2023,1617834e32
Country2,control,4423,30,593,7,71,5834317891,05-22-2023,b06a6fabac
Country6,test,1895,54,2055,1,98,4087745852,05-23-2023,ce06cc231e
Country7,test,2867,58,2984,0,22,9365895249,05-24-2023,5cea566cd4
Country1,test,2615,38,1847,0,75,1187736670,05-15-2023,e3db21a0fa
Country6,control,3669,58,505,11,9,3579892803,05-16-2023,2a8ea95b36
Country3,control,3582,50,452,9,80,2008495008,05-17-2023,ea1ad756e3
Country8,control,3849,70,698,3,49,1613321930,05-18-2023,b7328e1073
Country6,test,3837,39,2717,0,64,3198541909,05-19-2023,40f9274e38
Country7,test,2808,37,1879,1,98,4513767557,05-20-2023,1be45aade2
Country5,control,3139,45,424,8,67,9732026764,05-21-2023,f0da7d226a
Country8,test,2420,46,1828,0,80,9957281795,05-22-2023,2e1551197f
Country3,test,2792,44,2281,1,51,9054487179,05-23-2023,dcc77a07fd
Country6,test,2696,46,587,1,12,6082359528,05-24-2023,018a9872d5
Country10,test,2144,49,1698,0,90,5518322792,05-15-2023,31dee0c128
Country3,test,2699,40,2086,2,20,9561793453,05-16-2023,9fedcd8906
Country4,test,2462,54,2310,2,40,2563322778,05-17-2023,f7b243c737
Country2,control,3485,50,583,7,69,3387996790,05-18-2023,b107d58cdf
Country10,test,2478,43,2849,1,28,1783405111,05-19-2023,6cd2e8c8b9
Country8,control,3636,52,655,8,86,9543294288,05-20-2023,0d60951374
Country5,test,2457,43,1914,2,48,5778343506,05-21-2023,b3ec576d80
Country10,test,1840,43,1807,1,70,5351558594,05-22-2023,b84a8c795e
Country3,test,2113,54,974,1,59,9113969138,05-23-2023,661365d42e
Country8,control,4160,38,516,8,24,9074932024,05-24-2023,50aed3247f
Country8,test,2205,57,1557,1,31,6288330881,05-15-2023,8b7deba909
Country5,test,2141,44,2449,1,11,1686095694,05-16-2023,0772d3d2b4
Country5,test,2506,53,1663,1,47,7085946873,05-17-2023,5fadcd6f2d
Country8,test,2334,45,1995,1,82,6830504690,05-18-2023,ca39304949
Country9,control,3964,40,833,10,100,3076373978,05-19-2023,ec224f9315
Country8,test,2210,48,2278,1,81,1274639280,05-20-2023,86735f8f09
Country7,test,1809,48,2899,1,22,4522837801,05-21-2023,bef5d0bc90
Country7,test,2617,52,1538,2,68,7435617166,05-22-2023,8e4573c4ce
Country2,control,3635,50,660,6,54,2294736016,05-23-2023,0da915d1cd
Country6,test,2952,45,2158,0,92,5947380031,05-24-2023,598c63e86f
Country9,control,3845,42,756,9,48,5949812797,05-15-2023,248bf15b44
Country6,test,2572,39,1909,1,77,3612991938,05-16-2023,93c9e95513
Country8,control,4095,55,502,10,82,8056831824,05-17-2023,63f229a5ba
Country2,control,3879,41,655,8,94,7524559184,05-18-2023,56a58df231
Country2,test,2769,66,1765,2,69,7752283008,05-19-2023,1c640caa39
Country10,control,3836,42,727,8,45,1174508030,05-20-2023,08227c53e4
Country3,control,2806,46,545,7,74,3235142724,05-21-2023,90cab69620
Country9,control,3456,47,735,8,31,1545680136,05-22-2023,2ef1da25b3
Country7,control,3273,52,641,7,38,5718226756,05-23-2023,87ae926feb
Country8,control,3478,50,618,6,59,9732850642,05-24-2023,d62dbf8ec9
Country5,test,2943,61,1713,1,72,7646800555,05-15-2023,ee51e035e2
Country8,control,4253,51,656,9,1,9254883876,05-16-2023,0784c6e8df
Country2,control,3571,57,496,7,44,6336995030,05-17-2023,6315a08b44
Country6,test,2064,57,1547,0,40,9722124918,05-18-2023,59afd322fe
Country7,test,2920,42,1895,1,44,1592125802,05-19-2023,142c43860d
Country4,control,3517,35,660,8,16,9951500107,05-20-2023,d5b9f6bae3
Country6,test,2573,60,2197,1,84,5412178555,05-21-2023,5cd210b859
Country10,test,2449,48,1874,1,77,1796005292,05-22-2023,cf277c3587
Country8,control,3472,51,679,7,21,3692732302,05-23-2023,58c155465d
Country6,test,1730,62,1087,1,75,2769022397,05-24-2023,73dfae1ed4
Country4,test,2145,43,915,1,68,6429135892,05-15-2023,c3a2436392
Country6,test,2192,61,2015,1,95,1582535740,05-16-2023,22744a7743
Country3,test,1990,33,2302,1,94,6587479302,05-17-2023,f31a772d9a
Country2,control,4253,60,620,6,98,6704464253,05-18-2023,5e7951ea67
Country8,test,2058,54,1884,1,39,9049036111,05-19-2023,3154f49afd
Country1,test,2319,49,1792,1,9,1707869981,05-20-2023,4b18aee07b
Country7,control,3288,53,805,6,48,3841571896,05-21-2023,55aab2afd7
Country5,control,3468,37,555,8,10,9374515797,05-22-2023,fbe3565c79
Country9,control,4528,61,541,11,38,5339214930,05-23-2023,40befcf401
