country,test_group,watch_time,pause_count,avg_watch_time_per_video,Webpage_clicks_per_session,Videos_completed_per_session,userid,ds,sessionid
Country5,test,2752,49,1953,0,53,2681769226,05-15-2023,1089e0ebaa
Country7,test,1868,50,1686,1,57,6008026172,05-16-2023,a3185acab0
Country5,test,3173,54,1452,1,88,4211867293,05-17-2023,d1054becef
Country2,test,3000,53,1684,1,24,7526173620,05-18-2023,2787ab580f
Country2,test,3639,46,1927,1,50,8666622417,05-19-2023,55ec533888
Country2,control,3523,40,698,11,21,1810666167,05-20-2023,b35214827b
Country6,control,3408,35,646,10,37,4112049033,05-21-2023,1617834e32
Country2,control,4423,30,593,7,71,5834317891,05-22-2023,b06a6fabac
Country6,test,1895,54,2055,1,98,4087745852,05-23-2023,ce06cc231e
Country7,test,2867,58,2984,0,22,9365895249,05-24-2023,5cea566cd4
Country1,test,2615,38,1847,0,75,1187736670,05-15-2023,e3db21a0fa
Country6,control,3669,58,505,11,9,3579892803,05-16-2023,2a8ea95b36
Country3,control,3582,50,452,9,80,2008495008,05-17-2023,ea1ad756e3
Country8,control,3849,70,698,3,49,1613321930,05-18-2023,b7328e1073
Country6,test,3837,39,2717,0,64,3198541909,05-19-2023,40f9274e38
Country7,test,2808,37,1879,1,98,4513767557,05-20-2023,1be45aade2
Country5,control,3139,45,424,8,67,9732026764,05-21-2023,f0da7d226a
Country8,test,2420,46,1828,0,80,9957281795,05-22-2023,2e1551197f
Country3,test,2792,44,2281,1,51,9054487179,05-23-2023,dcc77a07fd
Country6,test,2696,46,587,1,12,6082359528,05-24-2023,018a9872d5
